# salmonsen/2/7/Articles.lst
#
index|Titel och innehåll|0001 0003
|Accentbetegnelse og Lydskrift|0005-0006
|Medarbejdere|0007-0008
|Fortegnelse over Illustrationer. Bind VII|0987-0988
|Rettelser og Trykfejl|0989
#
-|<h2>E</h2>|
|elektriske Sporveje. Herved forstaas en Sporvej, hvor Elektriciteten under en ell. anden Form benyttes som Drivkraft|0009-0013
|elektriske Støvfigurer elektriske Svingninger, se elektromagnetiske Svingninger og Radiotelegrafi.|0013
|elektriske Transformatorer, se elektriske Maskiner og Transformatorer.|0013
|elektriske Understationer er elektriske Stationer, hvori Elektricitet af en Art omdannes til en anden Art|0013-0019
|elektriske Vekselstrømsmaskiner, se elektriske Maskiner og Transformatorer.|0019
|elektrisk Felt, et Rum, hvori der virker elektriske Kræfter. Se Elektrostatik.|0019
|elektrisk Fjerntænding. Systemer, hvorved man ad elektrisk Vej kan tænde Gadelygterne i hele Gadedistrikter|0019
|elektrisk Fluidum, et hypotetisk, vægtløst Stof, som efter forsk. ældre Teorier skulde være Bærer af de elektriske Egenskaber|0019
|elektrisk Fordeling i Ledere, se Elektrostatik; i Isolatorer, se Dielektricitetskonstant.|0019
|elektrisk Gnist, en kortvarig elektrisk Udladning igennem Luft ell. en anden Isolator|0019-0021
|elektrisk Influens, d. s. s. elektrisk Fordeling. Se Elektrostatik.|0021
|elektrisk Kapacitet, se Elektrostatik.|0021
|elektrisk Klokke, se Ringeapparater.|0021
|elektrisk Klokkespil, se Elektrisermaskine.|0021
|elektrisk Kondensator er et til Optagelse af en statisk Ladning egnet Apparat|0021-0022
|elektrisk Kortslutning|0022
|elektrisk Kraftoverføring|0022-0025
|elektrisk Kæde, se galvaniske Elementer|0025
|elektrisk Lampe, se elektrisk Lys.|0025
|elektrisk Ledningsmateriel|0025-0030
|elektrisk Ledningsmodstand (internationalt Symbol R)|0030-0032
|elektrisk Lodning. Ved e. L. forstaas i Almindelighed Lodning med en elektrisk opvarmet Loddekolbe|0032-0033
|elektrisk Lugt, se Ozon.|0033
|elektrisk Lys. Der er væsentligt to Arter af elektrisk Lys, Buelys og Glødelys|0033
|Buelamper|0033-0037
|Glødelamper|0037-0041
|elektrisk Lysbue, en Form af elektrisk Strøm igennem Luft, ved hvilken Strømbanen og Polerne er stærkt lysende|0041-0044
|elektrisk Lyskaster|0044
|elektrisk Mølle, se Elektrisermaskine.|0044
|elektrisk Pistol, se Elektrisermaskine.|0044-0045
|elektrisk Polarisation, se elektrolytisk Polarisation.|0045
|elektrisk Potential, d. s. s. elektrisk Spænding. Se Elektrostatik.|0045
|elektrisk Resonans|0045
|elektrisk Spænding ell. elektrisk Potential|0045
|elektrisk Spændingsrække. Forbindes to forsk. Metaller med hinanden, vil de faa forsk.|0045
|elektrisk Spænding|0045
|elektrisk Strøm i en Ledningstraad (Metaltraad, Kultraad)|0045-0046
|elektrisk Strøm i Luftarter.|0046
|1) Beviser for Ionteorien|0046-0047
|2) Ionernes Bevægelighed|0047
|3) Ionernes taagedannende Evne|0047-0048
|4)  Ionernes Ladning|0048
|5) Ionernes Masse|0048
|6) Antallet af Ioner i atmosfærisk Luft under normale Betingelser|0048-0049
|7) Luftens Ionisering. Den uselvstændige elektriske Strøm|0049-0050
|8) Den selvstændige elektriske Strøm, Stødionisering|0050
|9) Den elektriske Lystaagestrøm|0050-0051
|10) Spændingsfordelingen i Lystaagestrømmen|0051-0052
|11) Forsk. Anvendelser af Udladningsrør|0052
|12) Teorien for Lystaagestrømmen|0052-0053
|13) Den elektriske Lysbuestrøm|0053
|14) Den stille Udladning, Spidsstrøm og Buskstrøm|0053-0054
|elektrisk Strømvarme. En elektrisk Strøm frembringer Varme i sin Leder|0054
|elektrisk Stød, en pludselig Fornemmelse ledsaget af Muskelsammentrækninger|0054
|elektrisk Svejsning er en fælles Benævnelse dels paa Sammensmeltning, dels paa virkelig Sammensvejsning af Metaldele|0054-0057
|elektrisk Transmission. Den i større Fabriksanlæg almindeligst anvendte Metode til Overførelse af Kraften|0057
|elektrisk Tænding. Apparater til e. T. kan indrettes paa forskellig Maade|0057-0058
|elektrisk Tæthed, se Elektrostatik.|0058
|elektrisk Udlader, en Slags Metaltang, hvis Grene ender i Kugler|0058
|elektrisk Udladning, se elektrisk Strøm i Luftarter.|0058
|elektrisk Ur, se Ur.|0058
|elektrisk Vandstandsviser|0058
|elektrisk Vind, en Bevægelse i Luften, der opstaar i Nærheden af en Spids, hvorfra der strømmer Elektricitet ud i Luften|0058
|Elektro... i sammensatte Ord en Forbindelse, der angiver, at Ordet betyder noget, der har med Elektricitet at gøre|0058
|Elektrobioskopi. Ved E. har man forstaaet Benyttelsen af den elektriske Strøms Indvirkning paa Legemets Organer|0058
|Elektrode, se Elektrolyse.|0058
|Elektrodiagnostik. Naar man med en elektrisk Strøm irriterer en Muskel ell. dennes Nerve|0058
|Elektrodynamik, Læren om de Kræfter, hvormed elektriske Strømme virker paa hinanden|0058-0059
|elektrodynamisk Induktion, se Induktion.|0059
|Elektrodynamometer, et Apparat til Maaling af elektriske Strømmes Styrke|0059
|Elektrofor (græsk: »Elektricitetsbærer«), Apparat, der tjener til Frembringelse af Elektricitet ved Fordeling|0059
|Elektroformaskine, se Influensmaskine.|0059
|Elektrografi, en særegen Fremgangsmaade til galvanisk Ætsning af Zinkplader til Bogtryk|0059-0060
|Elektrohomøopati er en homøopatisk Behandlingsmaade med Medikamenter, der angives at indeholde »elektrisk« helbredende Kraft|0060
|Elektroingeniør, saadanne, som har bestaaet Afgangsprøven ved den polytekniske Læreanstalt|0060
|Elektrokardiografi er en moderne Metode til at undersøge Hjertets Virksomhed|0060
|Elektrokardiogram, se Elektrokardiografi.|0060
|Elektrokemi er den Del af den fys. Kemi, der opstaar ved Kombination af Elektricitetslære og Kemi|0060
|elektrokemisk Beskyttelse|0060
|elektrokemisk Teori, se Elektrokemi og Kemi.|0060
|Elektrokemitypi, en Slags Zinkætsning, ved hvilken den første Ætsning sker i et Bad af Kobbervitriol ved Hjælp af den elektriske Strøm|0060
|elektrokinetisk Energi|0060-0061
|Elektrokultur. Allerede i 18. Aarh. begyndte man at undersøge Elektricitetens Virkning paa Planterne|0061
|Elektroluminescens, se Luminescens.|0061
|Elektrolyse, kem. Sønderdeling ved elektrisk Strøm|0061-0067
|Elektrolyt er en Vædske, der leder den elektriske Strøm|0067
|Elektrolyters Ledningsevne|0067
|elektrolytisk Celle, et Kar, hvori Elektrolyse foretages.|0067
|elektrolytiske Processer|0067
|elektrolytisk Polarisation|0067-0068
|Elektromagnet, en Magnet, sædvanlig af blødt Jern, hvis Magnetisme frembringes af en elektrisk Strøm|0068-0069
|elektromagnetiske Bølger, se elektromagnetiske Svingninger og Radiotelegrafi.|0069
|elektromagnetiske Svingninger (hist.)|0069
|elektromagnetisk Induktion, se Induktion.|0069
|elektromagnetisk Lysteori, se Lys.|0069
|elektromagnetisk Telegraf, se Telegraf.|0069
|Elektromagnetisme|0069-0070
|Elektrometeor (gr.) bruges som et Fællesnavn om de Fænomener i Atmosfæren, hvorved Elektriciteten antages at spille en Rolle|0070-0071
|Elektrometer, Apparat til Maaling af elektrisk Spændingsforskel|0071-0074
|Elektromotorer, se elektriske Maskiner og Transformatorer.|0074
|elektromotorisk Kraft (hyppigt afkortet til EMK; internationalt Symbol E)|0074-0075
|Elektron (pl. Elektroner)|0075-0078
|Elektron, Rav; E. eller Elektrum kaldes ogsaa en lysegul Legering af Guld og Sølv med mere end 20 % Sølv|0078
|Elektronik, Læren om Elektroner, se Elektron og Elektronteorien.|0078
|Elektronteorien, den Elektricitetsteori, der fører alle elektromagnetiske Fænomener tilbage til Virkninger af Elektroner|0078-0083
|Elektrooptik, Læren om de Forandringer, som et Legemes optiske Egenskaber undergaar, ved at det anbringes i et elektrisk Felt|0083-0084
|Elektropatologi. At det levende Protoplasma kan være meget følsomt over for Paavirkning af elektriske Strømme|0084-0085
|Elektroplastik, d. s. s. Galvanoplastik.|0085
|Elektroplet, se Plet.|0085
|elektropositiv og elektronegativ, se elektrisk Spændingsrække og kemisk Energi.|0085
|Elektropunktur ell. Galvanopunktur er Akupunkturen, forbundet med en gennem de indstukne Naale ledet galvanisk Strøm|0085
|Elektroskop kalder man et Redskab, hvormed man kan afgøre, om et Legeme er elektrisk samt om Ladningen er positiv ell. negativ|0085
|Elektrostatik, Læren om hvilende elektriske Ladninger og om det til disse hørende elektriske Felt|0085-0087
|Elektrostenolyse|0087-0088
|Elektrostriktion, et dielektrisk Legemes Rumfangsændring i et elektrisk Felt|0088
|Elektroteknik, Elektricitetens Anvendelse i Teknikken og Læren herom|0088-0089
|Elektrotekniker kaldes den, der studerer Elektroteknik ell. beskæftiger sig med Arbejder inden for Elektroteknikken|0089
|Elektroterapi er Behandling af Sygdomme med Elektricitet|0089
|Elektrotypi kaldes den Gren af Galvanoplastikken, ved hvilken der ved Kobberudfældning fremstilles Reliefkopier af Typesats|0089-0090
|Elektrotypograf, en Satsstøbningsmaskine|0090
|Elektrum (lat.), d. s. s. Elektron.|0090
|Elektryon, gr. Sagnheros, Søn af Perseus og Andromeda, Fader til Alkmene.|0090
|Element (psykol.) er enhver Bevidsthedstilstand, der ved psykologisk Analyse ikke kan opløses|0090
|Elementarkorn er en Betegnelse, som er brugt dels om Mikrosomer (se Celle, S. 681)|0090
|Elementer er Betegnelse for de Stoffer, som de ældste gr. Naturfilosoffer antog for Grundprincipper|0090
|Elementer, se galvaniske Elementer.|0090
|Elementer, i Astronomien de Bestemmelsesstykker, som er nødvendige for at kunne forfølge et Himmellegemes Bevægelse i Verdensrummet|0090
|Elementer (kern.), se Grundstoffer.|0090
|elementær (lat.), i Alm. hvad der hører til Elementerne ell. Grundbestanddelene|0090-0091
|Elementæraander, i Folketroen: de Aander, som opholdt sig i og forestod de fire Elementer|0091
|Elementæranalyse, se Analyse.|0091
|Elementærklasse, se elementær.|0091
|Elementærmetode, se elementær.|0091
|Elementærskole, se elementær.|0091
|Elementærundervisning, se elementær.|0091
|Elemi, forsk. Harpikser, der alle har det tilfælles, at de i nogenlunde frisk Tilstand er bløde og klæbrige|0091
|Elena, Jelena, By i Bulgarien, ligger 30 km SØ. f. Tirnova ved den nordlige Fod af Balkan-Kæden|0091
|Eleonore af Akvitanien, Dronning af Frankrig og England, (c.1122-1204)|0091-0092
|Eleonore Christine, se Leonora Christina.|0092
|Eleonorit, d. s. s. Beraunit.|0092
|Eleos (gr.), »Medlidenhed« personificeret som guddommeligt Væsen|0092
|Elers (Eilers), Jan, dansk Søofficer, ( -1690)|0092
|Elers, Jørgen, dansk Embedsmand, (1647-1692)|0092
|Elers Kollegium, en Fribolig for Studerende, Studenter og Kandidater ved Kbhvn's Univ.|0092
|Elettaria Maton (Cardamomum Salisb.), Slægt af Krydderurterne, (Kardemommeplanten)|0092
|Eleusine, Gärtn., Slægt af Græsfam. (Chloris-Gruppen) med fingerformet samlede og tætblomstrede Aks|0092
|Eleusinia, Fest for de eleusinske Guddomme, se Eleusis.|0092
|Eleusinske Mysterier, se Eleusis.|0092
|Eleusis, By i Attike, nu ubetydelig|0092-0094
|Eleuthera, en af Bahama-Øerne|0094
|Eleutherata d. s, s. Coleoptera, se Biller.|0094
|Eleutheropolis, det gr. Navn for Betogabra, By omtr. midtvejs imellem Jerusalem og Gaza|0094
|Elev (fr. élévé), Lærling, Discipel, Skoledreng ell. -pige. |0095
|elevated railroad (eng.), undertiden paa Dansk kaldet Højbane|0095
|Elevation (lat.) kaldes den Vinkel, Kernelinien ved et Stykke Skyts danner med visse Planer ell. Linier|0095
|Elevation (lat.), Opløften af Nadverelementerne|0095
|Elevator (lat.), et Apparat, hvorved Personer ell. Varer løftes til Vejrs|0095-0099
|Elevatorium (lat.), et kir. spatelformet Instrument, med hvilket man stumpt borer sig ind mellem Ben og Benhinde|0099
